"Source:","/home/halworsen/Documents/rotarykeyboard/rotarykeyboard.kicad_sch"
"Date:","sø. 03. april 2022 kl. 20.18 +0200"
"Tool:","Eeschema (6.0.2)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","53"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DK"
"","","C101","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C102","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C103","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C104","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C105","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C106","10n","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C107","10n","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C108","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C109","1u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C301","5n","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C302","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","C303","22u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"","","J101","Breakout","Connector_Generic:Conn_02x04_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x04_P1.27mm_Vertical","~",""
"","","J102","Cortex Debug","Connector_Generic:Conn_02x05_Counter_Clockwise","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical","~",""
"","","J301","USB_C_Receptacle_USB2.0","Connector:USB_C_Receptacle_USB2.0","USB4110-GF-A:USB4110-GF-A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","https://www.digikey.no/no/products/detail/USB4110-GF-A/2073-USB4110-GF-A-1-ND/10384548?itemSeq=385830842"
"","","L301","10u","Device:L","Inductor_SMD:L_0805_2012Metric","~",""
"","","R101","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R102","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R103","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R104","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R105","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R106","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R201","4k7","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"","","R202","4k7","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"","","R203","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R204","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R205","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R206","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R207","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R208","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R209","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R210","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R211","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R212","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R213","330","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
